start	end	text
0	16720	把飯給我的愛人來一份墨意粉
16720	20800	把飯給我的愛人來一份墨意粉
20800	24960	我習慣給了他微醺色的眼眸
24960	29120	而我的咖啡他不用打動
29120	33280	他世界已經因為他甜到過頭
33280	37440	沒有跟他笑容一樣濃郁的學者
37440	41680	就別浪費自己介紹手機來訪
41680	45840	供量的低化做成的丟牙
45840	50000	色調色彩都因為他說不出話
50000	54160	這愛不落幕 忘掉心事的過度
54160	58320	你坐在這處 孤單都被征服
58320	62480	天氣的交通 重要的交通
62480	66640	眼睛不分真實顯給天空的景緒
66640	70800	感覺的熱情 他慢慢忘記
70800	92320	這是世上最美麗的那雙人舞
92320	94480	誰能對得了他專根的重要意義
94480	97040	人生的海風 風馬火地 孤獨
97040	98960	說他們的辛苦相繼無相
98960	101200	傷悲在嘴巴下笑與分明
101200	105360	喧囂的海報 頭在 藍的閣樓陽台
105360	108480	而你身後就假裝不曉得那一片海
108480	112640	麻煩給我的愛人來一杯Morita
112640	116800	我喜歡戀著他微醺色的眼眸
116800	120960	而我的咖啡他不用打動
120960	125120	他世界已經因為他甜到過頭
125120	128800	這愛不落幕 忘掉心事的過度
128800	133280	沒所在之處 孤單都被掌握
133280	137440	天氣的交通 重要的交通
137440	141600	眼睛不分真實顯給天空的景緒
141600	145760	感覺的熱情 他慢慢忘記
145760	158560	這是世上最美麗的那雙人舞
158560	162720	天氣的交通 重要的交通
162720	166880	眼睛不分真實顯給天空的景緒
166880	171120	感覺的熱情 他慢慢忘記
171120	189840	這是世上最美麗的那雙人舞
