start	end	text
0	10000	我带着你 作词 李宗盛
10000	20000	作曲 李宗盛
28000	31000	我带着你 沉溺中的心里
31000	34000	路遥遥地 经过街道闪电
34000	36000	看到一堆光圈
36000	40000	不确定是不是这里
42000	45000	我看到几个人站在一起
45000	48000	他们拿着剪刀 占走我的行李
48000	50000	擦成我的脑袋
50000	53000	没有机会返回去
56000	60000	直到我听见一个声音
61000	64000	我确定是你
64000	68000	可你怎记得我
69000	74000	我带来了凌切的消息
74000	78000	可我怎么告知你
78000	82000	注定是一场相遇
83000	86000	我记得这里是片树林
86000	89000	后面有棵山坡 山坡上的草树
89000	91000	每当秋天到来
91000	95000	我们把脚掌门靠在
97000	99000	我记得 找了朋友
99000	101000	我还走过一个路
101000	105000	你总喜欢跟在 路的背后
105000	109000	只是为了拿起个铜钱
111000	113000	我记得 我们的青史点
113000	115000	人后来转成了口袋
115000	119000	人生转成后 就对面回载
119000	123000	谁都收不到你的信
124000	127000	我们就这样从无法理解
127000	130000	要重新开始 相互通牵对方
130000	136000	说着来世再见 再次持续这场情
138000	143000	我记得 走过山中的路线
143000	149000	你总喜欢跟在 路的背后
152000	157000	只是为了拿起个铜钱
157000	186000	Zither Harp
187000	192000	Zither Harp
193000	195000	你不想我走
195000	197000	因为你许多年过了
197000	199000	难道是我的天性
199000	201000	你展示过前方
201000	203000	你不想我走
203000	206000	难道是我的天性
207000	211000	如果我讲了很多关于你成长的故事
211000	213000	那幸福的一段
213000	218000	就只会一直保留在我梦里的伤痕
220000	223000	告诉我 亲爱的人
223000	226000	我见到的方法 是故事和原创
226000	228000	是新或是传话
228000	232000	我们最终都会相见
234000	237000	在城市的门外交出
237000	240000	你一样写下诗在晚霞灯火
240000	245000	闪烁下的 都是一场相聚
245000	269000	Zither Harp
269000	274000	我终于找到你
299000	304000	Zither Harp
305000	308000	快来抱抱
308000	311000	快来抱抱
311000	329000	我终于找到你
